,Alpha,Generalization_Error
0,0.0,0.4114616993059059
1,0.0,0.3818892541054528
2,0.0,0.35086337367022014
3,0.0,0.33620561456645054
4,0.0,0.3350688912528714
5,1.0,0.30454331110351723
6,1.0,0.28996215190801977
7,1.0,0.283350946383085
8,1.0,0.27394382199259976
9,1.0,0.261018954083144
10,1.0,0.23745654282299647
11,1.0,0.22920807175049437
12,1.0,0.22326910961292032
13,1.0,0.20514786453709818
14,2.0,0.21327455117449412
15,2.0,0.20787015037243173
16,2.0,0.19293417773665772
17,2.0,0.18357073734216361
18,2.0,0.18268290639484833
19,2.0,0.17308426564292984
20,2.0,0.16086390838130868
21,2.0,0.16322468680164487
22,2.0,0.1651449141995583
23,2.0,0.16022063125980368
24,2.0,0.15377340071141027
25,3.0,0.15405493240231566
26,3.0,0.14183893584816648
27,3.0,0.14964950090280582
28,3.0,0.13973111375428648
29,3.0,0.13684201716026018
30,3.0,0.1383303895196746
31,3.0,0.12891640052063771
32,3.0,0.11995373277768462
33,3.0,0.12191111347521069
34,4.0,0.11348014578484447
35,4.0,0.11665425445964499
36,4.0,0.11185518457539624
37,4.0,0.11401585694708694
38,4.0,0.10578337409432743
39,4.0,0.10251485229451644
40,4.0,0.10621449707490166
41,4.0,0.1004414304898166
42,4.0,0.09976702361643597
43,4.0,0.09318378851475977
44,4.0,0.09559671610532497
45,5.0,0.0998103699927108
46,5.0,0.08962489087135113
47,5.0,0.09347990861552176
48,5.0,0.0849737449014153
